"a_fecha","playerRanking","code","name","age","imageUrl","team_code","team_tvCodes","team_name","team_imageUrl","gamesPlayed","gamesStarted","minutesPlayed","pointsScored","twoPointersMade","twoPointersAttempted","twoPointersPercentage","threePointersMade","threePointersAttempted","threePointersPercentage","freeThrowsMade","freeThrowsAttempted","freeThrowsPercentage","offensiveRebounds","defensiveRebounds","totalRebounds","assists","steals","turnovers","blocks","blocksAgainst","foulsCommited","foulsDrawn","pir"
"28-01-2026 04:48:42",122,"011050","KOPRIVICA, BALSA",25,"https://media-cdn.cortextech.io/c6a7ff2f-a4da-4ac0-9a7c-3236f143336a.png","BAH","BKS","Bahcesehir Koleji Istanbul","https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png",15,0,13.8355555555556,5.4,2.3,3.6,"63%",0,0.1,"0%",0.9,1.5,"59.1%",1.7,1.9,3.6,0.7,0.2,0.7,1.4,0.2,2.3,1.2,7.3
"28-01-2026 04:48:42",124,"014165","BREUNIG, MARTIN",33,"https://media-cdn.cortextech.io/5c21af9c-2b0f-454a-a5ad-bc206627f812.png","HAM","HAM","Hamburg Towers","https://media-cdn.incrowdsports.com/5ef8be01-ad71-42c2-aa02-d5c7a9495258.png",10,5,19.06,7,2.4,4.6,"52.2%",0.3,0.7,"42.9%",1.3,2.3,"56.5%",1.5,2,3.5,2.2,0.4,1.4,0.3,0.3,2.7,1.7,7.1
"28-01-2026 04:48:42",125,"005024","GIRDZIUNAS, MINDAUGAS",36,"https://media-cdn.cortextech.io/e4c99d99-0ccf-4839-85ad-dfb5c513dea7.png","KLA","NEP","Neptunas Klaipeda","https://media-cdn.cortextech.io/ed0df5cd-c9e4-4387-bcd4-3606270cd255.png",15,1,18.8477777777778,8.8,0.8,2.1,"37.5%",1.8,4.2,"42.9%",1.8,1.9,"93.1%",0.5,0.8,1.3,1.2,0.6,0.7,0,0.2,2,1.9,6.9
"28-01-2026 04:48:42",126,"007729","KULLAMAE, KRISTIAN",26,"https://media-cdn.cortextech.io/deb840ef-fa0a-4e39-a936-2a1e7664eba6.png","LKB","LIE","Lietkabelis Panevezys ","https://media-cdn.cortextech.io/ffcb6e37-31f4-48f6-91c2-a8c9a6f791a9.png",16,12,27.4697916666667,11.2,2.4,5.1,"46.3%",1.9,6,"32.3%",0.7,0.9,"78.6%",0.2,2.6,2.8,3,1.2,2.6,0.1,0.3,2.8,1.2,6.9
"28-01-2026 04:48:42",127,"007914","ARSLAN, YIGIT",29,"https://media-cdn.cortextech.io/1d14fb49-4cc6-4e34-9181-cc092a0d4570.png","BES","BJK","Besiktas Istanbul","https://media-cdn.cortextech.io/7d37b2d0-2a4a-4a86-bf2c-266bd8da7cac.png",15,3,19.7977777777778,7.5,0.9,2.1,"43.8%",1.6,4.1,"39.3%",0.9,1,"86.7%",0.6,2,2.6,1.3,0.7,0.4,0.1,0.2,1.9,0.9,6.9
"28-01-2026 04:48:42",128,"010546","MOULARE, ASSEMIAN",22,"https://media-cdn.cortextech.io/9b2e27c6-ce5e-49cc-ad34-bb1df523556d.png","BOU","JLB","JL Bourg","https://media-cdn.incrowdsports.com/d4225e1b-7c1b-4382-98d4-ca8511c64441.png",15,0,18.1911111111111,7.4,1.9,4.1,"46.8%",0.7,2.8,"26.2%",1.3,1.9,"71.4%",0.5,1.5,2,1.3,0.5,0.7,0.1,0.2,1.5,2.3,6.5
"28-01-2026 04:48:42",129,"007921","CANDI, LEONARDO",28,"https://media-cdn.cortextech.io/29776c41-e607-428f-831b-e8d80eea2858.png","VNC","URV","Umana Reyer Venice","https://media-cdn.incrowdsports.com/104f5074-9f23-47da-a21f-f2078db8244c.png",15,0,17.8244444444444,5.8,0.9,1.6,"58.3%",1,2.8,"35.7%",0.9,1.3,"70%",0.1,1.4,1.5,2.5,0.9,1.1,0.1,0.1,2.5,2.1,6.3
"28-01-2026 04:48:42",130,"003452","BLAZIC, JAKA",35,"https://media-cdn.cortextech.io/6e7e920c-a98e-4b6b-817d-37484e56d0b4.png","LJU","COL","KK Cedevita Olimpija","https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png",15,10,18.2866666666667,6.1,1.3,2.3,"54.3%",0.7,2.3,"29.4%",1.5,2.1,"71.9%",1.1,1.8,2.9,1.2,0.5,0.9,0,0.2,2.2,2.1,6.2
"28-01-2026 04:48:42",131,"013271","MAWUGBE, SELOM",27,"https://media-cdn.cortextech.io/79ed8fdb-8a1e-44e8-a029-89346606551f.png","TRN","TRE","Dolomiti Energia Trento","https://media-cdn.incrowdsports.com/00c5cc07-732c-43c3-9d6e-5440594a25f8.png",13,11,18.0166666666667,3.9,1.5,2.2,"65.5%",0,0,"0%",1,1.8,"54.2%",1.8,2.7,4.5,0.5,0.4,1.2,0.7,0,3.7,2.5,6
"28-01-2026 04:48:42",132,"005478","WIMBERG, NIKLAS",29,"https://media-cdn.cortextech.io/cf65c63c-2bc9-4656-be33-2c80c26de06f.png","HAM","HAM","Hamburg Towers","https://media-cdn.incrowdsports.com/5ef8be01-ad71-42c2-aa02-d5c7a9495258.png",11,9,23.3121212121212,6.3,1.6,4,"40.9%",0.8,3.3,"25%",0.5,0.5,"100%",0.9,2.4,3.3,1.5,1.1,1.5,0.9,0.2,1.5,0.9,5.9
